FOLDER NAME,FILE NAME,START TIME,END TIME,SLIDING WINDOW TIME,TOL,PCA,BPM
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,140.0,230.0,90.0,0.27,4,103.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,145.0,235.0,90.0,0.27,4,82.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,150.0,240.0,90.0,0.27,4,161.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/008/,008.csv,155.0,245.0,90.0,0.27,4,92.66666666666667
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,0.0,90.0,90.0,0.27,5,150.66666666666666
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,5.0,95.0,90.0,0.27,5,118.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,10.0,100.0,90.0,0.27,5,103.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,15.0,105.0,90.0,0.27,5,85.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,20.0,110.0,90.0,0.27,5,87.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,25.0,115.0,90.0,0.27,5,154.66666666666669
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,30.0,120.0,90.0,0.27,5,90.0
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,35.0,125.0,90.0,0.27,5,85.33333333333334
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,40.0,130.0,90.0,0.27,5,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,45.0,135.0,90.0,0.27,5,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,50.0,140.0,90.0,0.27,5,71.33333333333333
Inputs_ippg/fps/60_downsample_60fps_to_20fps/004/,004.csv,55.0,145.0,90.0,0.27,5,138.66666666666669
